0	0
1	239161788332.351
2	339137477658.165
3	415787006366.353
4	480204282415.651
5	536587745619.026
6	587287930170.285
7	633666466064.547
8	676455608473.969
9	716450979398.414
10	754314575191.115
11	789988339216.725
12	823885887841.097
13	856174985836.11
14	886989619884.214
15	916440032517.622
16	944619443879.421
17	971373712075.663
18	997263384048.961
19	1022127198450.95
20	1046034740880.53
21	1068774678995.96
22	1090903566038.17
23	1112166318985.43
24	1132284234886.33
25	1151811624492.96
26	1170451234195.16
27	1187903377781.12
28	1204737764474.69
29	1220662702493.17
30	1235423056712.81
31	1249686264493.74
32	1262977975796.41
33	1276034449797.41
34	1288302052089.67
35	1300466300537.43
36	1312203325783.97
37	1323215093162.33
38	1334137551216.47
39	1344355578418.53
40	1354534464251.72
41	1364046185859.57
42	1373563848380.64
43	1382437949204.51
44	1391350928472.97
45	1399647186569.04
46	1408025677688.79
47	1415832466332.71
48	1423787001190.24
49	1431235051965.77
50	1438868232624.11
51	1445969530517.02
52	1453203125847.73
53	1459868900189.73
54	1466664908823.74
55	1472923630920.89
56	1479360845289.42
57	1485312998501.5
58	1491484684902.44
59	1497208907651.81
60	1503177881868.96
61	1508723403517.5
62	1514526024661.18
63	1519921872318.62
64	1525583306907.04
65	1530853627574.47
66	1536054076112.72
67	1541562518744.38
68	1546668768628.77
69	1552086548315.36
70	1557115059880.57
71	1562455208197.36
72	1567414584302.37
73	1572679462120.18
74	1577565804876.86
75	1582745882739.23
76	1587544528838.67
77	1592619792804.86
78	1597306503551.22
79	1602249133243.68
80	1606792332784
81	1611569064652.36
82	1615934140300.05
83	1620508556037.56
84	1624657927668.77
85	1628992400401.86
86	1632887963167.22
87	1636628545477.63
88	1640547680145.3
89	1643978019620.11
90	1647563713385
91	1650648048489.45
92	1653867109542.63
93	1656878235895.28
94	1659403556084.28
95	1661292377830.38
96	1653371059009.05
97	1644708844807.74
98	1635947868932.46
99	1625245464590.91
100	1617340143529.21
101	1608698015530.55
102	1598767641160.21
103	1594588556860.94
104	1583393201795.95
105	1578132552996.2
106	1565416833015.13
107	1559356501267.31
108	1553260522143.35
109	1538510702625.1
110	1531391680733.11
111	1524226617783.46
112	1516556248368.89
113	1508845893769.54
114	1500858450350.41
115	1492596047067.29
116	1483867567027.77
117	1475076282028.38
118	1466015381512.55
119	1456686919875.06
120	1457990129919.07
121	1448373573531.71
122	1438494668300.7
123	1428353225060.76
124	1417950566003.21
125	1419076283930.78
126	1408402774503.6
127	1397556683924.01
128	1386419093266.17
129	1387504381896.94
130	1375993033881.15
131	1364212251659.09
132	1365056530899.27
133	1353023107375.14
134	1340733523786.83
135	1341506847157.8
136	1328976961854.63
137	1316195964412.09
138	1316924589001.3
139	1303917363877.4
140	1304600023248.26
141	1291376442858.52
142	1277911220430.19
143	1278592428958.98
144	1264920269748.3
145	1265579253533.25
146	1251703771920.65
147	1252345475415.81
148	1238268992832.8
149	1223953772530.89
150	1224619456513.88
151	1210103398989.63
152	1210758679492.26
153	1196044404370.31
154	1196691755910.68
155	1181781096506.19
156	1182425172909.89
157	1167319413921.61
158	1167964741002.05
159	1152667175001.11
160	1153316798780.01
161	1153930832029.25
162	1138490039666.72
163	1139116611846.67
164	1123493561949.89
165	1124135638218.47
166	1108333905090.9
167	1108996255280.69
168	1093018229665.88
169	1093704209055.53
170	1077554436512.51
171	1078265040669.59
172	1078956476238.68
173	1062685681758.43
174	1063406531965.33
175	1046971350370.25
176	1047722720563.72
177	1048459913228.69
178	1031909743497.76
179	1032680384505.33
180	1015970345353.49
181	1016776146711.9
182	1017570478344.93
183	1000749492807.09
184	1001580848470.65
185	984605128336.974
186	985472080147.986
187	986332125264.735
188	969248560740.157
189	970145188693.182
190	952914996672.122
191	953845914075.862
192	954774143132.928
193	937438899598.422
194	938401509152.599
195	939362622416.497
196	921922986042.813
197	922918132478.652
198	923912865460.297
199	906369453098.974
200	907397777760.952
201	889720684417.952
202	890781164341.916
203	891843829668.269
204	874068487554.783
205	875163078616.474
206	876261791629.525
207	858391590438.252
208	859522265838.56
209	860659213912.678
210	842698610302.128
211	843867798006.268
212	845045656653.616
213	827000105534.616
214	828210641364.399
215	829432310780.184
216	811307962526.022
217	812562500211.287
218	813830561973.733
219	795633776051.623
220	796934539158.176
221	798251122167.299
222	779988479798.458
223	781337267134.832
224	782704063113.049
225	784088341924.271
226	765780606124.239
227	767198890823.295
228	768636810089.958
229	750273930187.233
230	751744568299.133
231	753236786889.954
232	734825707690.215
233	736348823424.353
234	737895140717.186
235	719442723345.91
236	721017507035.832
237	722616871599.382
238	724240279782.299
239	705754549415.925
240	707405098548.244
241	709080823157.458
242	690562151548.597
243	692261228793.035
244	693986419114.469
245	675441103193.535
246	677185733483.703
247	678957478392.083
248	680756074709.758
249	662180643014.31
250	663996798679.751
251	665841174183.521
252	647250740833.993
253	649109813351.487
254	650998666550.957
255	652917666210.112
256	634304418849.72
257	636237074376.463
258	638201651086.266
259	619590906946.392
260	621567100875.689
261	623577169800.076
262	625621293560.055
263	607000688256.745
264	609055989664.462
265	611147243091.383
266	592549909602.292
267	594650055079.535
268	596788019692.833
269	598963742011.356
270	580371431450.621
271	582555538343.254
272	584779331291.647
273	587042503826.229
274	568461803021.506
275	570732637210.87
276	573044264759.427
277	554516680188.94
278	556831755388.888
279	559188213612.594
280	561585800944.971
281	543078485892.113
282	545474001963.196
283	547910364215.764
284	550386684385.452
285	531895312469.175
286	534361961031.195
287	536867302750.143
288	518440227296.582
289	520927016937.886
290	523451110344.94
291	526011881772.459
292	507592148887.924
